SKU,Length,Width,Height,Priority,Reason
C33,220,195,155,33,Out of container bounds
C34,220,195,155,34,Out of container bounds
C35,220,195,155,35,Out of container bounds
C36,220,195,155,36,Out of container bounds
C37,220,195,155,37,Out of container bounds
JP1,445,185,175,38,Out of container bounds
JP2,500,300,235,39,Out of container bounds
JP3,280,215,220,40,Out of container bounds
C38,220,195,155,41,Out of container bounds
C39,220,195,155,42,Out of container bounds
C40,220,195,155,43,Out of container bounds
C41,220,195,155,44,Out of container bounds
C42,220,195,155,45,Out of container bounds
C43,220,195,155,46,Out of container bounds
C44,220,195,155,47,Out of container bounds
C45,220,195,155,48,Out of container bounds
C46,445,185,175,49,Out of container bounds
C47,300,500,235,50,Out of container bounds
JP4,280,215,220,51,Out of container bounds
JP5,220,195,155,52,Out of container bounds
JP6,220,195,155,53,Out of container bounds
C48,220,195,155,54,Out of container bounds
C49,220,195,155,55,Out of container bounds
C50,220,195,155,56,Out of container bounds
C51,220,195,155,57,Out of container bounds
C52,220,195,155,58,Out of container bounds
C53,220,195,155,59,Out of container bounds
C54,445,185,175,60,Out of container bounds
C46,445,185,175,61,Out of container bounds
C47,500,300,235,62,Out of container bounds
JP4,280,215,220,63,Out of container bounds
JP5,220,195,155,64,Out of container bounds
JP6,220,195,155,65,Out of container bounds
C48,220,195,155,66,Out of container bounds
C49,220,195,155,67,Out of container bounds
C50,220,195,155,68,Out of container bounds
C51,220,195,155,69,Out of container bounds
C52,220,195,155,70,Out of container bounds
C53,220,195,155,71,Out of container bounds
C54,445,185,175,72,Out of container bounds
