SKU,Length,Width,Height,Priority,X (cm),Y (cm),Z (cm),Rotation
C1,220,195,155,1,5.0,5.0,14.0,0
C2,220,195,155,2,27.0,5.0,14.0,0
C3,220,195,155,3,49.0,5.0,14.0,0
C4,220,195,155,4,71.0,5.0,14.0,0
C5,220,195,155,5,5.0,24.5,14.0,0
C6,220,195,155,6,27.0,24.5,14.0,0
C7,220,195,155,7,49.0,24.5,14.0,0
C8,220,195,155,8,71.0,24.5,14.0,0
C9,220,195,155,9,5.0,44.0,14.0,0
C10,220,195,155,10,27.0,44.0,14.0,0
C11,220,195,155,11,49.0,44.0,14.0,0
C12,220,195,155,12,71.0,44.0,14.0,0
C13,220,195,155,13,5.0,63.5,14.0,0
C14,220,195,155,14,27.0,63.5,14.0,0
C15,220,195,155,15,49.0,63.5,14.0,0
C16,220,195,155,16,71.0,63.5,14.0,0
C17,220,195,155,17,5.0,5.0,29.5,0
C18,220,195,155,18,27.0,5.0,29.5,0
C19,220,195,155,19,49.0,5.0,29.5,0
C20,220,195,155,20,71.0,5.0,29.5,0
C21,220,195,155,21,5.0,24.5,29.5,0
C22,220,195,155,22,27.0,24.5,29.5,0
C23,220,195,155,23,49.0,24.5,29.5,0
C24,220,195,155,24,71.0,24.5,29.5,0
C25,220,195,155,25,5.0,44.0,29.5,0
C26,220,195,155,26,27.0,44.0,29.5,0
C27,220,195,155,27,49.0,44.0,29.5,0
C28,220,195,155,28,71.0,44.0,29.5,0
C29,220,195,155,29,5.0,63.5,29.5,0
C30,220,195,155,30,27.0,63.5,29.5,0
C31,220,195,155,31,49.0,63.5,29.5,0
C32,220,195,155,32,71.0,63.5,29.5,0
